Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
4.9,0.67,True,4480,cyclic,True,3.18125460792575e-07,0.42085657634849455
8.1,0.98,False,1113,cyclic,False,2.6227521063312926e-07,0.8037855897560151
7.9,0.9400000000000001,False,4578,cyclic,True,4.3367826055151437e-07,0.8037855897560151
1.0,0.27,True,3698,random,False,5.25556474514117e-07,0.42085657634849455
4.4,0.63,True,703,random,False,6.944652746640655e-07,0.42085657634849455
1.0,0.49,True,1798,cyclic,True,1.981368716105937e-07,0.42085657634849455
4.3,0.56,True,4088,cyclic,False,6.495056433507585e-07,0.42085657634849455
5.2,0.63,False,1578,random,False,8.33307624101283e-07,0.8037855897560151
2.5,0.67,False,4931,random,True,6.129306546575843e-07,0.8037855897560151
5.7,0.48,False,1410,random,False,1.8817650953582706e-07,0.8037855897560151
1.4000000000000001,0.06,True,1602,random,True,2.0510828911728863e-07,0.4159059882645984
5.9,0.86,True,1474,cyclic,False,3.675015404214797e-07,0.42085657634849455
1.1,0.21,True,941,cyclic,False,2.9575487670335863e-07,0.42085657634849455
0.4,0.87,True,4801,cyclic,False,2.5039324278603595e-07,0.42085657634849455
7.4,0.2,False,4290,cyclic,True,9.305394212904251e-07,0.8037855897560151
8.3,0.75,True,2025,random,False,9.158411235169909e-07,0.42085657634849455
6.7,0.23,False,1394,random,False,1.6782649917453664e-07,0.8037855897560151
3.5,0.0,False,3613,random,True,4.097806315303289e-07,0.5577084347971915
4.0,0.04,True,724,cyclic,False,6.343977034847138e-07,0.42085657634849455
4.7,0.9400000000000001,True,2275,random,False,4.419018399202765e-08,0.42085657634849455
1.9000000000000001,0.46,True,2934,cyclic,False,8.893634715153383e-07,0.42085657634849455
6.800000000000001,0.7000000000000001,True,2984,cyclic,True,8.327713705157433e-08,0.42085657634849455
5.4,0.13,True,1184,cyclic,True,5.092659260225003e-08,0.42085657634849455
9.5,0.03,True,3416,cyclic,False,9.777490363523422e-07,0.42085657634849455
5.300000000000001,0.38,True,4009,random,False,7.832893866954339e-07,0.42085657634849455
8.0,0.16,False,3196,cyclic,True,6.209607723440304e-07,0.8037855897560151
8.1,0.86,True,1202,cyclic,False,7.211748651568951e-07,0.42085657634849455
4.7,0.44,True,2179,cyclic,False,6.064430160143146e-07,0.42085657634849455
0.8,0.08,True,4968,random,True,7.085756482511381e-07,0.4056965482751942
7.5,0.54,True,4903,cyclic,True,3.895667181154429e-07,0.42085657634849455
2.3000000000000003,0.62,True,4271,random,True,1.55707615789432e-07,0.42085657634849455
0.5,0.64,False,3905,cyclic,True,9.602422169886697e-07,0.6389065086462953
8.700000000000001,0.56,False,848,random,True,8.823162873583991e-07,0.8037855897560151
10.0,0.93,True,4491,cyclic,False,1.5558110149018667e-09,0.42085657634849455
9.1,0.93,False,908,random,False,7.279483381907661e-07,0.8037855897560151
3.0,0.77,True,627,random,False,6.745207898435631e-07,0.42085657634849455
4.2,0.34,True,4217,cyclic,False,5.876837631215295e-07,0.42085657634849455
8.6,0.23,False,600,random,False,9.529054726984265e-07,0.8037855897560151
2.1,0.18,True,3355,random,False,4.137734616671519e-07,0.42085657634849455
6.5,0.01,False,2994,random,True,6.6698693159594e-07,0.6501573812048581
3.1,0.05,True,2617,cyclic,False,6.584267699085357e-07,0.42085657634849455
3.4000000000000004,0.06,False,4687,random,True,9.167777350099591e-07,0.6586717541583712
