criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
absolute_error,best,5,2,0.8999999999999999,1000,0.1,0.422527584497034
friedman_mse,best,37,10,0.1,10000,0.0,0.42085657634849455
squared_error,best,2,10,0.2,1,0.1,0.42085657634849455
squared_error,best,10,10,0.30000000000000004,10,0.7,0.42085657634849455
squared_error,random,5,5,0.1,10,0.9999999999999999,0.42085657634849455
absolute_error,random,5,10,0.2,100,0.4,0.422527584497034
friedman_mse,best,73,73,0.0,1000,0.8999999999999999,0.2841029951980815
squared_error,best,2,37,0.6,1,0.0,0.42085657634849455
friedman_mse,best,5,2,0.1,1000,0.7999999999999999,0.42085657634849455
absolute_error,random,10,73,0.2,10,0.30000000000000004,0.422527584497034
friedman_mse,best,2,73,0.9999999999999999,10,0.6,0.42085657634849455
absolute_error,best,37,37,0.7999999999999999,1,0.2,0.422527584497034
poisson,random,100,73,0.5,1,0.1,0.42085657634849455
absolute_error,best,100,37,0.7999999999999999,1,0.30000000000000004,0.422527584497034
absolute_error,best,37,37,0.4,10000,0.7999999999999999,0.422527584497034
squared_error,best,5,1,0.7999999999999999,1,0.1,0.42085657634849455
friedman_mse,best,5,100,0.4,100,0.7999999999999999,0.42085657634849455
absolute_error,random,2,73,0.6,1,0.7999999999999999,0.422527584497034
poisson,best,37,1,0.8999999999999999,10,0.9999999999999999,0.42085657634849455
squared_error,random,10,1,0.7999999999999999,100,0.2,0.42085657634849455
squared_error,best,73,100,0.7,1000,0.0,0.42085657634849455
squared_error,random,2,73,0.9999999999999999,1000,0.4,0.42085657634849455
friedman_mse,random,2,2,0.8999999999999999,100,0.6,0.42085657634849455
friedman_mse,random,73,5,0.8999999999999999,1000,0.4,0.42085657634849455
squared_error,best,100,10,0.0,1,0.5,0.30631758073520093
squared_error,random,10,2,0.30000000000000004,10000,0.30000000000000004,0.42085657634849455
absolute_error,random,73,37,0.30000000000000004,100,0.1,0.422527584497034
squared_error,best,5,100,0.30000000000000004,1000,0.2,0.42085657634849455
absolute_error,best,100,37,0.7,1000,0.4,0.422527584497034
friedman_mse,random,5,5,0.2,1,0.0,0.42085657634849455
friedman_mse,best,2,5,0.8999999999999999,1000,0.8999999999999999,0.42085657634849455
absolute_error,best,73,100,0.5,1000,0.8999999999999999,0.422527584497034
poisson,random,37,2,0.30000000000000004,1,0.4,0.42085657634849455
absolute_error,best,100,73,0.4,100,0.5,0.422527584497034
poisson,best,37,73,0.4,1000,0.8999999999999999,0.42085657634849455
friedman_mse,best,10,100,0.5,10000,0.7999999999999999,0.42085657634849455
poisson,random,37,1,0.5,100,0.9999999999999999,0.42085657634849455
squared_error,random,5,2,0.4,100,0.9999999999999999,0.42085657634849455
friedman_mse,best,2,1,0.7,100,0.0,0.42085657634849455
absolute_error,random,5,100,0.4,1000,0.6,0.422527584497034
squared_error,best,2,1,0.2,100,0.7999999999999999,0.42085657634849455
absolute_error,random,10,10,0.8999999999999999,1000,0.4,0.422527584497034
squared_error,random,73,1,0.8999999999999999,1,0.9999999999999999,0.42085657634849455
friedman_mse,best,73,1,0.2,1,0.30000000000000004,0.42085657634849455
friedman_mse,best,37,73,0.4,1000,0.6,0.42085657634849455
friedman_mse,best,5,5,0.7999999999999999,1000,0.2,0.42085657634849455
squared_error,random,37,37,0.7,10000,0.4,0.42085657634849455
absolute_error,random,100,73,0.7999999999999999,10000,0.8999999999999999,0.422527584497034
absolute_error,best,37,10,0.9999999999999999,10000,0.6,0.422527584497034
poisson,random,10,37,0.30000000000000004,1000,0.8999999999999999,0.42085657634849455
absolute_error,random,37,5,0.4,1000,0.0,0.422527584497034
poisson,best,10,37,0.2,10000,0.9999999999999999,0.42085657634849455
squared_error,best,2,37,0.5,1,0.8999999999999999,0.42085657634849455
poisson,random,5,73,0.5,10,0.0,0.42085657634849455
absolute_error,best,100,100,0.6,10000,0.7,0.422527584497034
friedman_mse,best,2,100,0.6,1000,0.0,0.42085657634849455
friedman_mse,best,10,2,0.1,1,0.8999999999999999,0.42085657634849455
absolute_error,best,73,73,0.4,1,0.7,0.422527584497034
absolute_error,random,10,10,0.8999999999999999,10,0.5,0.422527584497034
squared_error,best,2,1,0.7999999999999999,100,0.4,0.42085657634849455
absolute_error,best,5,1,0.0,10000,0.2,0.1401011285592785
friedman_mse,random,2,1,0.30000000000000004,10,0.7,0.42085657634849455
absolute_error,random,37,73,0.7,1000,0.2,0.422527584497034
friedman_mse,best,37,100,0.7999999999999999,1,0.7,0.42085657634849455
absolute_error,random,37,1,0.9999999999999999,10000,0.30000000000000004,0.422527584497034
poisson,best,73,1,0.0,1,0.4,0.306360451768569
absolute_error,random,100,5,0.2,10,0.4,0.422527584497034
poisson,best,2,5,0.7999999999999999,100,0.30000000000000004,0.42085657634849455
squared_error,random,10,100,0.8999999999999999,10000,0.7999999999999999,0.42085657634849455
friedman_mse,random,37,1,0.5,100,0.7999999999999999,0.42085657634849455
poisson,random,100,5,0.9999999999999999,10,0.7999999999999999,0.42085657634849455
squared_error,random,100,100,0.8999999999999999,10000,0.4,0.42085657634849455
friedman_mse,random,100,100,0.5,100,0.1,0.42085657634849455
absolute_error,random,100,5,0.0,10,0.5,0.17313786320190291
friedman_mse,random,2,2,0.5,1000,0.1,0.42085657634849455
squared_error,best,37,5,0.6,1,0.7999999999999999,0.42085657634849455
friedman_mse,best,10,1,0.4,10000,0.6,0.42085657634849455
absolute_error,random,5,37,0.4,10,0.2,0.422527584497034
squared_error,best,5,100,0.8999999999999999,10000,0.4,0.42085657634849455
friedman_mse,random,10,5,0.2,100,0.8999999999999999,0.42085657634849455
squared_error,best,10,100,0.9999999999999999,100,0.1,0.42085657634849455
poisson,best,37,2,0.9999999999999999,1,0.2,0.42085657634849455
squared_error,best,5,2,0.5,10000,0.6,0.42085657634849455
friedman_mse,random,2,2,0.1,10,0.30000000000000004,0.42085657634849455
absolute_error,best,73,100,0.7999999999999999,10000,0.7999999999999999,0.422527584497034
poisson,random,5,100,0.2,10000,0.6,0.42085657634849455
friedman_mse,best,5,73,0.7999999999999999,1,0.0,0.42085657634849455
poisson,best,10,1,0.5,1000,0.7,0.42085657634849455
friedman_mse,best,100,10,0.5,100,0.8999999999999999,0.42085657634849455
absolute_error,best,10,5,0.0,10000,0.1,0.12273433162269276
poisson,best,10,5,0.6,10000,0.1,0.42085657634849455
poisson,best,100,5,0.0,10000,0.6,0.1661763295356267
squared_error,best,73,73,0.7,1,0.0,0.42085657634849455
absolute_error,best,100,73,0.8999999999999999,1,0.4,0.422527584497034
friedman_mse,best,10,1,0.8999999999999999,100,0.9999999999999999,0.42085657634849455
friedman_mse,best,5,10,0.2,10000,0.7,0.42085657634849455
squared_error,random,37,1,0.2,1000,0.0,0.42085657634849455
friedman_mse,random,5,2,0.0,1000,0.5,0.2553335299069457
poisson,best,10,2,0.5,1,0.8999999999999999,0.42085657634849455
poisson,random,73,1,0.6,100,0.5,0.42085657634849455
friedman_mse,random,5,2,0.1,1,0.7,0.42085657634849455
absolute_error,best,73,100,0.1,1000,0.7,0.3069665450639447
absolute_error,random,10,1,0.7,10,0.0,0.422527584497034
absolute_error,best,37,100,0.6,10000,0.8999999999999999,0.422527584497034
squared_error,random,73,100,0.1,100,0.7,0.42085657634849455
squared_error,random,2,2,0.9999999999999999,100,0.7999999999999999,0.42085657634849455
friedman_mse,best,100,37,0.5,1,0.4,0.42085657634849455
poisson,best,5,2,0.30000000000000004,1000,0.7999999999999999,0.42085657634849455
absolute_error,best,5,5,0.4,100,0.4,0.422527584497034
friedman_mse,best,100,10,0.6,1000,0.6,0.42085657634849455
squared_error,best,73,2,0.7999999999999999,100,0.0,0.42085657634849455
absolute_error,best,2,100,0.6,1,0.4,0.422527584497034
friedman_mse,best,2,5,0.0,1000,0.30000000000000004,0.26280324058283727
poisson,best,10,100,0.6,1000,0.5,0.42085657634849455
absolute_error,best,10,10,0.0,1,0.8999999999999999,0.3069665450639447
friedman_mse,random,5,73,0.9999999999999999,1000,0.8999999999999999,0.42085657634849455
absolute_error,random,100,73,0.6,1000,0.7999999999999999,0.422527584497034
friedman_mse,best,100,1,0.7999999999999999,10,0.7999999999999999,0.42085657634849455
poisson,random,100,5,0.2,10,0.6,0.42085657634849455
poisson,best,2,100,0.7,10000,0.4,0.42085657634849455
friedman_mse,best,73,2,0.5,10000,0.5,0.42085657634849455
poisson,best,10,2,0.7,1,0.4,0.42085657634849455
friedman_mse,best,2,5,0.0,10000,0.6,0.26280324058283727
absolute_error,best,10,37,0.1,1,0.7999999999999999,0.3069665450639447
poisson,best,37,2,0.5,10,0.0,0.42085657634849455
squared_error,best,73,5,0.6,10,0.1,0.42085657634849455
absolute_error,best,37,10,0.1,10000,0.4,0.3069665450639447
poisson,best,5,2,0.7999999999999999,10,0.4,0.42085657634849455
absolute_error,best,5,73,0.9999999999999999,1,0.8999999999999999,0.422527584497034
friedman_mse,random,2,5,0.0,10000,0.0,0.25374049720103037
poisson,random,2,10,0.7,1000,0.0,0.42085657634849455
absolute_error,random,100,73,0.5,10000,0.7,0.422527584497034
absolute_error,best,37,2,0.9999999999999999,1000,0.6,0.422527584497034
squared_error,best,5,5,0.4,100,0.5,0.42085657634849455
friedman_mse,random,5,10,0.1,10,0.5,0.42085657634849455
absolute_error,random,37,5,0.7,10000,0.30000000000000004,0.422527584497034
poisson,random,2,37,0.7999999999999999,100,0.30000000000000004,0.42085657634849455
