criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
absolute_error,random,37,2,0.8999999999999999,1,0.0,0.18202758050120058
squared_error,best,5,5,0.7999999999999999,10000,0.6,0.18122520623253266
poisson,best,37,73,0.5,1000,0.4,0.18122520623253266
friedman_mse,random,37,2,0.8999999999999999,10,0.0,0.18122520623253266
friedman_mse,best,5,5,0.5,1,0.9999999999999999,0.18122520623253266
poisson,best,5,2,0.30000000000000004,10000,0.30000000000000004,0.18122520623253266
friedman_mse,best,2,2,0.7,10000,0.30000000000000004,0.18122520623253266
poisson,random,100,10,0.5,1000,0.2,0.18122520623253266
friedman_mse,best,2,73,0.7999999999999999,10000,0.6,0.18122520623253266
friedman_mse,random,5,100,0.7999999999999999,100,0.2,0.18122520623253266
friedman_mse,best,73,5,0.30000000000000004,10,0.30000000000000004,0.18122520623253266
squared_error,random,73,1,0.1,1000,0.2,0.18122520623253266
squared_error,best,5,37,0.2,1,0.7999999999999999,0.18122520623253266
friedman_mse,best,73,5,0.6,1,0.1,0.18122520623253266
squared_error,random,37,37,0.2,10000,0.6,0.18122520623253266
poisson,random,10,100,0.4,1000,0.6,0.18122520623253266
absolute_error,best,73,100,0.0,1,0.7,0.14485347224342618
poisson,random,37,73,0.4,1000,0.5,0.18122520623253266
squared_error,best,10,1,0.4,1,0.7999999999999999,0.18122520623253266
squared_error,best,37,1,0.2,10,0.4,0.18122520623253266
friedman_mse,best,100,73,0.9999999999999999,1000,0.7999999999999999,0.18122520623253266
poisson,best,100,1,0.8999999999999999,10000,0.6,0.18122520623253266
absolute_error,random,37,37,0.7,10000,0.7,0.18202758050120058
friedman_mse,random,73,100,0.0,1,0.9999999999999999,0.18100575240526276
absolute_error,random,10,1,0.6,100,0.0,0.18202758050120058
absolute_error,best,73,73,0.30000000000000004,10000,0.8999999999999999,0.18202758050120058
squared_error,random,100,2,0.9999999999999999,1000,0.1,0.18122520623253266
squared_error,best,100,100,0.6,1000,0.4,0.18122520623253266
poisson,random,73,37,0.30000000000000004,10,0.7,0.18122520623253266
squared_error,random,100,10,0.7,1,0.4,0.18122520623253266
poisson,random,2,1,0.9999999999999999,1000,0.0,0.18122520623253266
friedman_mse,random,5,37,0.0,1000,0.5,0.1519249816345715
poisson,best,5,2,0.8999999999999999,10,0.0,0.18122520623253266
poisson,random,2,100,0.1,10,0.30000000000000004,0.18122520623253266
squared_error,best,10,37,0.4,10000,0.4,0.18122520623253266
