N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
3,distance,kd_tree,10,4.0,l1,355.0180278810408
7,distance,brute,20,2.5,l2,373.6682558266071
4,distance,brute,70,2.0,l1,343.24382311028484
10,distance,ball_tree,100,3.5,l2,394.36795207817954
10,uniform,brute,70,1.5,cityblock,371.9459107806691
5,distance,ball_tree,50,1.5,manhattan,345.59633873251937
2,distance,kd_tree,100,2.0,l1,374.08836741016114
7,distance,kd_tree,70,1.0,l1,342.27786421285464
5,distance,ball_tree,90,3.0,l2,343.3167484383807
2,uniform,ball_tree,100,2.5,cityblock,378.3591635687733
6,distance,kd_tree,50,1.0,euclidean,360.90450745368315
9,distance,ball_tree,70,3.0,l2,392.18779444846837
9,distance,ball_tree,70,4.0,l1,359.0378787321866
2,distance,kd_tree,10,2.5,manhattan,368.5467874845106
7,uniform,kd_tree,10,1.5,l1,366.5351301115239
4,uniform,brute,50,2.5,manhattan,355.2714033457249
3,uniform,brute,70,1.0,euclidean,342.01026641883504
7,uniform,kd_tree,70,3.0,l2,388.5243653744028
3,distance,kd_tree,80,3.5,l1,364.650434944238
6,uniform,brute,100,3.0,manhattan,344.0910377942999
1,uniform,brute,100,3.0,l1,458.78278810408926
7,distance,kd_tree,50,4.0,cityblock,352.27836780761584
3,uniform,kd_tree,50,1.0,manhattan,364.9797893432466
6,distance,ball_tree,20,2.0,l1,341.6332125581127
3,distance,brute,10,3.0,euclidean,341.5872200874123
2,distance,kd_tree,30,4.5,l2,402.99250251021203
6,distance,kd_tree,80,3.0,euclidean,357.8242450152097
10,uniform,brute,50,2.0,l2,404.0589739776954
1,uniform,brute,10,2.5,euclidean,458.78278810408926
8,distance,kd_tree,50,4.5,manhattan,360.9398590241304
6,uniform,kd_tree,90,1.0,l1,343.09549256505574
3,uniform,kd_tree,60,4.5,manhattan,364.9797893432466
2,uniform,brute,30,4.0,l2,355.018810408922
9,uniform,brute,90,1.0,l2,394.75799669558046
7,distance,ball_tree,10,2.5,l1,355.9638618556689
7,distance,brute,20,1.5,euclidean,373.6682558266071
7,uniform,brute,90,1.0,l2,387.60021242697843
1,uniform,kd_tree,50,1.5,l2,435.54754646840155
7,uniform,ball_tree,10,4.5,cityblock,378.81983271375464
4,uniform,ball_tree,100,4.0,l1,336.00421468401476
4,distance,brute,40,2.0,l1,343.24382311028484
1,distance,ball_tree,60,4.5,l1,460.61118959107813
5,uniform,ball_tree,60,1.0,l2,365.18223420074366
5,uniform,kd_tree,50,1.5,euclidean,362.73617100371763
4,distance,ball_tree,30,3.5,l1,348.15370255797484
6,uniform,brute,30,4.0,l1,344.0910377942999
1,uniform,brute,80,2.0,l2,458.78278810408926
