Alpha,L1_ratio,fit_intercept,Max_iter,selection,warm_start,Tol,Error-
8.3,0.37,False,4003,random,True,8.632544296444192e-07,0.6321770447096923
7.5,0.52,True,692,cyclic,True,7.026742646404033e-07,0.1812252062325326
7.4,0.17,True,3605,random,True,6.632344082454623e-07,0.1812252062325326
7.5,0.48,False,3006,cyclic,False,1.69606812835659e-07,0.6321770447096923
4.1000000000000005,0.6900000000000001,True,4825,random,False,3.4204343909400175e-07,0.1812252062325326
0.1,0.05,False,3405,random,True,2.4100835394139514e-07,0.16654388188832128
0.7000000000000001,0.18,False,937,random,True,4.6840856291226875e-07,0.34115645868341754
2.3000000000000003,0.97,False,766,random,False,6.269570012342159e-08,0.6321770447096923
5.800000000000001,0.21,False,3757,random,False,7.829905195383346e-07,0.6321770447096923
3.7,0.68,False,2447,cyclic,False,9.675394730791607e-07,0.6321770447096923
0.8,0.29,True,4193,random,False,3.4322106230421407e-07,0.1812252062325326
9.0,0.98,False,4606,cyclic,False,6.161901826775935e-07,0.6321770447096923
2.4000000000000004,0.55,False,4963,cyclic,True,5.157435108696402e-07,0.6321770447096923
4.0,0.06,True,4374,random,False,5.885066773295449e-07,0.1812252062325326
6.4,0.0,False,1296,cyclic,True,7.945760551834252e-07,0.4742901950665049
1.7000000000000002,0.9400000000000001,False,1873,random,True,1.3783565258010084e-08,0.6321770447096923
9.8,0.35000000000000003,False,4193,cyclic,False,4.506134059785469e-07,0.6321770447096923
3.9000000000000004,0.91,True,1152,cyclic,True,5.811878285297014e-07,0.1812252062325326
3.4000000000000004,0.67,True,1732,random,True,1.8765487494656222e-07,0.1812252062325326
1.8,0.36,True,4733,cyclic,False,1.8031844437099197e-07,0.1812252062325326
2.6,0.9,False,3114,cyclic,True,4.191808512597786e-07,0.6321770447096923
9.9,0.49,False,4614,random,True,5.489283226884035e-07,0.6321770447096923
8.0,0.25,True,3825,random,True,7.188416389135565e-07,0.1812252062325326
0.4,0.1,False,2685,cyclic,True,5.892283039349588e-07,0.2201373058330668
