Alpha,Max_iter,Tolerance,fit_intercept,positive,warm_start,selection,Error-
41,1100,1e-08,True,True,False,random,4978.029838863327
6,3100,0.1,False,True,False,cyclic,4757.798685406676
26,600,1e-08,False,False,True,cyclic,4773.7692902476665
51,1600,9.999999999999999e-06,True,False,True,cyclic,4879.024583651326
81,1100,1e-07,False,False,True,random,4763.732255446375
76,8100,1e-07,True,True,True,random,4965.709759700573
76,2600,9.999999999999999e-06,True,False,False,random,4870.2555415529205
51,3600,1e-06,False,False,False,random,4769.152196532441
31,4600,0.01,False,False,True,random,4772.745666372784
81,8100,1e-08,False,False,True,random,4763.732237221105
51,100,1e-08,False,True,False,cyclic,4748.420886335607
66,3600,1e-08,True,False,False,cyclic,4873.763047676432
36,9100,0.1,True,True,True,random,4979.810641011781
26,1100,0.01,False,True,True,random,4767.989972556607
36,1600,9.999999999999999e-06,True,True,True,random,4979.81293989985
91,3600,9.999999999999999e-06,True,True,False,cyclic,4960.46330755441
71,8600,0.001,True,True,True,cyclic,4967.458575965101
1,3600,1e-06,False,False,False,cyclic,4778.528700930905
96,1100,9.999999999999999e-05,False,True,True,random,4741.339894460302
81,4600,1e-06,True,False,False,cyclic,4868.501512571439
61,9100,9.999999999999999e-05,False,True,False,cyclic,4746.898620612661
66,9600,1e-06,False,False,False,cyclic,4766.425534528094
31,2600,9.999999999999999e-06,False,False,True,random,4772.828166922705
6,4600,1e-07,False,True,True,cyclic,4755.421897009481
36,8100,1e-08,False,True,False,random,4750.749141635977
76,6100,1e-06,True,True,True,cyclic,4965.709757607228
81,4600,9.999999999999999e-06,False,False,False,cyclic,4763.734019786947
91,9600,9.999999999999999e-05,False,False,True,cyclic,4761.975513926164
26,4600,0.01,True,False,True,random,4887.826072105741
36,8600,1e-06,False,True,False,cyclic,4750.749212331347
66,8600,1e-06,True,True,True,cyclic,4969.216628274638
46,5100,9.999999999999999e-06,False,False,True,cyclic,4770.066440373777
41,4600,9.999999999999999e-05,True,False,True,random,4882.546107212414
86,3600,9.999999999999999e-05,True,False,False,random,4866.749440679718
6,8600,1e-06,False,False,True,random,4777.567492522296
66,8600,1e-07,False,True,True,random,4746.101436989269
81,9100,9.999999999999999e-06,False,False,False,cyclic,4763.734019786947
91,3100,0.01,True,False,True,random,4864.986665300885
41,9600,0.01,False,False,False,random,4770.703568807892
16,3600,0.01,False,False,True,cyclic,4775.732152743491
71,6600,1e-06,False,False,False,cyclic,4765.526377331843
66,100,1e-08,True,False,True,random,4873.763046970606
66,600,1e-08,False,True,True,random,4746.101333364555
1,8100,0.1,False,True,True,cyclic,4758.581649087398
31,7600,1e-08,False,True,True,cyclic,4751.527935955891
91,4600,9.999999999999999e-05,True,True,True,random,4960.466890861384
96,5600,1e-06,False,False,False,random,4761.08075788109
61,100,0.001,True,True,True,random,4970.976499038514
71,4600,1e-08,True,False,False,random,4872.009204420993
71,2600,1e-06,True,True,True,cyclic,4967.458574097067
11,100,0.001,True,True,False,random,4988.751886228107
66,1600,0.1,True,False,False,cyclic,4873.763249206628
86,3100,0.1,True,False,False,cyclic,4866.747866678142
16,4100,1e-06,False,False,False,cyclic,4775.652657411643
31,8100,1e-07,False,True,False,random,4751.5260808064
36,9600,1e-07,False,True,True,cyclic,4750.749146009305
76,2100,1e-06,True,False,False,cyclic,4870.255357754499
41,2100,1e-08,False,True,True,cyclic,4749.970352286755
41,3600,9.999999999999999e-05,False,False,False,cyclic,4770.997947475202
91,600,9.999999999999999e-05,False,False,False,random,4761.920913864781
91,1600,0.1,True,False,True,random,4865.361786693713
61,8600,1e-08,False,False,True,random,4767.333833305365
16,4100,1e-06,True,False,True,random,4891.347458228671
56,9600,0.01,True,False,False,random,4876.906061114252
46,3600,0.01,True,False,True,random,4880.938077042605
46,9100,0.01,False,False,False,random,4770.476346081097
96,600,1e-08,True,False,True,cyclic,4863.239976584943
81,1600,9.999999999999999e-05,True,True,False,cyclic,4963.960942954125
16,6600,0.001,False,False,False,random,4775.5672808252575
66,1100,0.01,True,False,False,cyclic,4873.763249206628
36,7600,1e-08,False,False,True,random,4771.9075688513985
91,1600,1e-06,False,False,True,cyclic,4761.956640741667
61,8600,1e-07,False,False,True,cyclic,4767.333860035047
36,4100,0.001,True,False,False,cyclic,4884.3057116525915
86,2100,0.01,False,True,False,random,4747.743419094466
61,8100,1e-08,True,False,False,random,4875.516896706869
16,9600,1e-06,False,True,False,random,4753.867759824337
56,7600,0.001,True,False,False,random,4877.270092420571
81,9600,1e-07,True,True,True,cyclic,4963.960941124407
71,4100,9.999999999999999e-06,True,True,False,random,4967.45466922036
86,600,1e-08,False,False,True,random,4762.842335000563
61,600,0.001,False,True,False,random,4746.04280332476
66,7600,9.999999999999999e-06,False,True,True,cyclic,4746.101597752199
36,7600,9.999999999999999e-06,True,True,False,cyclic,4979.809010678583
41,7100,1e-08,False,True,True,random,4749.970344147601
66,4600,0.1,True,True,True,cyclic,4969.224710021651
26,1600,9.999999999999999e-05,True,False,True,cyclic,4887.826480753591
96,4600,0.01,True,False,False,cyclic,4863.240175413908
76,6600,0.001,True,False,True,cyclic,4870.255557942392
21,4100,1e-08,True,False,True,cyclic,4889.586965356493
1,7100,0.001,False,True,True,random,4756.078297432641
6,4600,9.999999999999999e-06,True,False,True,random,4894.8694814673145
76,3100,0.001,True,True,True,random,4965.711627940713
11,5600,0.01,True,True,False,random,4993.270599444628
26,5600,0.01,True,False,False,cyclic,4887.826682617482
36,4600,0.01,False,False,True,cyclic,4772.002987204807
6,5100,1e-06,False,True,True,cyclic,4755.42196328158
71,8100,1e-06,True,False,False,random,4872.0162218581345
16,600,0.01,False,True,True,random,4754.013980564122
81,100,0.1,False,True,False,random,4780.35104686016
41,1100,0.1,True,True,True,random,4978.374527125854
46,3600,9.999999999999999e-05,False,False,True,random,4770.056254114294
66,9600,1e-08,False,False,False,cyclic,4766.425527530289
61,3100,1e-08,True,True,False,cyclic,4970.9765036194585
11,5100,0.1,False,True,False,cyclic,4757.015721725944
6,5600,0.01,True,True,False,random,4990.546951448687
11,9600,1e-08,True,False,True,cyclic,4893.107935420614
41,4600,1e-07,False,False,False,cyclic,4770.979939121789
41,3600,1e-06,True,False,False,cyclic,4882.545025678146
16,2600,1e-08,True,True,True,random,4986.956921483255
71,2600,1e-07,False,True,False,random,4745.32857621336
16,5100,0.01,False,False,True,cyclic,4775.732152743491
6,4600,1e-06,True,True,False,cyclic,4990.546554409788
31,8600,1e-08,True,False,True,cyclic,4886.06599529236
56,3100,1e-06,True,False,False,cyclic,4877.27073848674
61,1100,9.999999999999999e-05,False,False,True,cyclic,4767.353325343248
11,100,0.1,True,False,False,random,4893.106901380943
71,8600,0.001,True,False,False,random,4872.010796185809
16,2100,0.1,True,True,True,cyclic,4986.964926793336
36,3600,9.999999999999999e-05,False,True,True,cyclic,4750.774357462656
91,2100,1e-07,False,False,True,cyclic,4761.9566464123345
96,2600,0.001,False,True,False,random,4746.410302926949
41,600,1e-07,False,True,False,cyclic,4749.970354175946
16,3600,0.001,False,False,True,cyclic,4775.655364454085
46,4600,1e-08,True,False,False,random,4880.784540311959
11,4100,1e-07,True,False,False,random,4893.107914089183
86,2600,9.999999999999999e-05,True,False,False,cyclic,4866.747849351536
81,6600,1e-06,False,True,False,cyclic,4743.781773643796
81,4600,1e-07,False,False,True,cyclic,4763.732256039273
81,7600,1e-08,False,True,False,random,4743.781669273044
86,6600,0.01,False,False,False,random,4762.802147109122
86,5100,1e-07,False,True,True,random,4742.999991994635
